Word	AdvIntensifierID	IsRelativeAdverb	IsComperativeAdverb	IsSuperlativeAdverb	AdvIntensifier	NoCompOrSupForm	MustUseMoreMost	IrregularForm	howCommon	commonRank	baseForm	wordSenseID
nicely	3	false	null	null	Manner	true	false	--	0.001005	7329	nice	7
acutely	3	false	null	null	Manner	true	true	--	4.37E-4	12662	cute	7
metatarsally	-1	false	null	null	--	null	null	--	-1.0	-1	metatarsally	-1
nonpersistently	-1	false	null	null	--	true	false	--	-1.0	-1	nonpersistently	-1
puzzledly	-1	false	null	null	--	null	null	--	-1.0	-1	puzzledly	-1
cubically	-1	false	null	null	--	true	false	--	-1.0	-1	cubically	-1
haggishly	-1	false	null	null	--	null	null	--	-1.0	-1	haggishly	-1
bigamistically	-1	false	null	null	--	null	null	--	-1.0	-1	bigamistically	-1
ruttily	-1	false	null	null	--	null	null	--	-1.0	-1	rut	-1
stonily	-1	false	null	null	--	null	null	--	5.3E-5	41573	stone	7
unblinkingly	-1	false	null	null	--	true	false	--	2.8E-5	55743	blinking	-1
superlaryngeally	-1	false	null	null	--	null	null	--	-1.0	-1	laryngeally	-1
unsardonically	-1	false	null	null	--	null	null	--	-1.0	-1	sardonically	-1
terrifically	-1	false	null	null	--	null	null	--	4.5E-5	44818	terrifically	7
unobsequiously	-1	false	null	null	--	null	null	--	-1.0	-1	unobsequiously	-1
cavillingly	-1	false	null	null	--	null	null	--	-1.0	-1	cavillingly	-1
phenomenologically	-1	false	null	null	--	true	false	--	-1.0	-1	phenomenologically	-1
moltenly	-1	false	null	null	--	null	null	--	-1.0	-1	moltenly	-1
unavailably	-1	false	null	null	--	null	null	--	-1.0	-1	availably	-1
inexpressively	-1	false	null	null	--	null	null	--	-1.0	-1	expressively	-1
unspiritedly	-1	false	null	null	--	null	null	--	-1.0	-1	spiritedly	-1
nonconstructively	-1	false	null	null	--	null	null	--	-1.0	-1	constructively	-1
ungenially	-1	false	null	null	--	null	null	--	-1.0	-1	genially	-1
hurryingly	-1	false	null	null	--	null	null	--	-1.0	-1	hurry	-1
impishly	-1	false	null	null	--	null	null	--	2.2E-5	61616	imp	7
detrimentally	-1	false	null	null	--	true	false	--	1.3E-5	78153	detriment	7
adjectively	-1	false	null	null	--	true	false	--	-1.0	-1	adjective	-1
scabbily	-1	false	null	null	--	null	null	--	-1.0	-1	scab	-1
unperemptorily	-1	false	null	null	--	null	null	--	-1.0	-1	unperemptorily	-1
elfishly	-1	false	null	null	--	null	null	--	-1.0	-1	elfishly	-1
noncommiseratively	-1	false	null	null	--	null	null	--	-1.0	-1	commiseratively	-1
