Word	AdvIntensifierID	IsRelativeAdverb	IsComperativeAdverb	IsSuperlativeAdverb	AdvIntensifier	NoCompOrSupForm	MustUseMoreMost	IrregularForm	howCommon	commonRank	baseForm	wordSenseID
nicely	3	false	null	null	Manner	true	false	--	0.001005	7329	nice	7
acutely	3	false	null	null	Manner	true	true	--	4.37E-4	12662	acute	7
metatarsally	-1	false	null	null	--	null	null	--	-1.0	-1	metatarsal	-1
nonpersistently	-1	false	null	null	--	true	false	--	-1.0	-1	nonpers	-1
puzzledly	-1	false	null	null	--	null	null	--	-1.0	-1	puzzl	-1
cubically	-1	false	null	null	--	true	false	--	-1.0	-1	cu	-1
haggishly	-1	false	null	null	--	null	null	--	-1.0	-1	hag	-1
bigamistically	-1	false	null	null	--	null	null	--	-1.0	-1	bigamis	-1
ruttily	-1	false	null	null	--	null	null	--	-1.0	-1	ru	-1
stonily	-1	false	null	null	--	null	null	--	5.3E-5	41573	sto	7
unblinkingly	-1	false	null	null	--	true	false	--	2.8E-5	55743	unblink	-1
superlaryngeally	-1	false	null	null	--	null	null	--	-1.0	-1	superlaryngeal	-1
unsardonically	-1	false	null	null	--	null	null	--	-1.0	-1	unsardo	-1
terrifically	-1	false	null	null	--	null	null	--	4.5E-5	44818	terri	7
unobsequiously	-1	false	null	null	--	null	null	--	-1.0	-1	unobsequy	-1
cavillingly	-1	false	null	null	--	null	null	--	-1.0	-1	cavil	-1
phenomenologically	-1	false	null	null	--	true	false	--	-1.0	-1	phenomenolo	-1
moltenly	-1	false	null	null	--	null	null	--	-1.0	-1	molt	-1
unavailably	-1	false	null	null	--	null	null	--	-1.0	-1	unavail	-1
inexpressively	-1	false	null	null	--	null	null	--	-1.0	-1	inexpr	-1
unspiritedly	-1	false	null	null	--	null	null	--	-1.0	-1	unspirite	-1
nonconstructively	-1	false	null	null	--	null	null	--	-1.0	-1	nonconstruct	-1
ungenially	-1	false	null	null	--	null	null	--	-1.0	-1	ungenial	-1
hurryingly	-1	false	null	null	--	null	null	--	-1.0	-1	hur	-1
impishly	-1	false	null	null	--	null	null	--	2.2E-5	61616	imp	7
detrimentally	-1	false	null	null	--	true	false	--	1.3E-5	78153	detrimental	7
adjectively	-1	false	null	null	--	true	false	--	-1.0	-1	adject	-1
scabbily	-1	false	null	null	--	null	null	--	-1.0	-1	sca	-1
unperemptorily	-1	false	null	null	--	null	null	--	-1.0	-1	unperempto	-1
elfishly	-1	false	null	null	--	null	null	--	-1.0	-1	elf	-1
noncommiseratively	-1	false	null	null	--	null	null	--	-1.0	-1	noncommiserate	-1
